date,sale_dollars,sale_liters
2017-02-20,1362300.8500000013,94418.66000000031
2017-02-21,954421.1600000067,64028.94000000011
2017-02-22,1161613.7100000011,87059.42000000022
2017-02-23,1247246.9300000025,83489.93000000004
2017-02-24,552407.0000000026,42694.05999999995
2017-02-27,1369686.6299999931,94808.55000000034
2017-02-28,915480.9800000043,63645.29000000012
2017-03-01,1334572.0599999987,89959.60000000015
2017-03-02,1272555.5099999956,81101.46000000017
2017-03-03,473817.1500000025,33827.62999999994
2017-03-06,1589481.4899999907,102357.09000000048
2017-03-07,1329435.509999994,86180.0000000004
2017-03-08,1264563.2400000019,83680.38000000012
2017-03-09,1356599.8899999978,90945.25000000019
2017-03-10,504802.62000000203,36465.57999999999
2017-03-13,1539801.3599999915,105843.61000000048
2017-03-14,938811.5200000027,62048.299999999974
2017-03-15,1281504.5199999989,85573.41000000025
2017-03-16,1392967.0599999947,90720.93000000008
2017-03-17,595210.1600000035,42980.73999999994
2017-03-20,1335492.4899999986,88002.74000000009
2017-03-21,943167.4600000056,62869.74999999992
2017-03-22,1138823.409999996,77130.03000000016
2017-03-23,1175893.6200000003,76739.12000000002
2017-03-24,475870.4100000027,35520.37999999999
2017-03-27,1355070.149999987,89201.9700000001
2017-03-28,964119.4100000019,64084.34
2017-03-29,1120679.6399999987,75988.23000000004
2017-03-30,1098868.880000003,70096.07000000008
2017-03-31,537383.7000000022,38087.83999999999
2017-04-03,1425653.5999999943,93186.78000000004
2017-04-04,1122757.690000001,73068.44000000009
2017-04-05,1330584.6699999955,90644.15000000043
2017-04-06,1506635.0499999977,96422.30000000018
2017-04-07,586625.6300000028,41668.14999999994
2017-04-10,1479545.4299999897,100536.66000000045
2017-04-11,1342015.1799999948,88360.16000000027
2017-04-12,1487733.2299999876,104832.41000000044
2017-04-13,1436476.5399999903,98241.3300000002
2017-04-14,609846.1100000032,45608.779999999984
2017-04-17,1476138.0099999907,96033.96000000046
2017-04-18,1010918.7200000068,70060.23999999996
2017-04-19,1224118.6999999948,85722.44000000028
2017-04-20,1069538.6700000025,70523.70000000008
2017-04-21,441160.98000000237,32752.889999999927
2017-04-24,1354858.6599999953,90140.10000000028
2017-04-25,1208008.440000002,94451.9100000004
2017-04-26,1200504.3699999976,83038.0000000001
2017-04-27,1339055.640000002,90930.69000000002
2017-04-28,524454.9500000026,38101.46999999994
2017-05-01,1348782.0499999989,94593.31000000023
2017-05-02,1145371.4700000011,80038.51000000007
2017-05-03,1566529.269999991,106607.90000000011
2017-05-04,1316483.7999999996,92922.39000000019
2017-05-05,591868.7700000018,45308.49999999996
2017-05-08,1497964.9799999937,102544.86000000044
2017-05-09,1095644.570000002,78121.05000000024
2017-05-10,1516163.4099999897,109282.3200000004
2017-05-11,1698743.0499999966,116390.28000000022
2017-05-12,561697.7000000014,42782.14999999997
2017-05-15,1459005.759999988,95699.39000000042
2017-05-16,1318236.7899999928,85839.60000000024
2017-05-17,1367987.6300000027,93516.5100000005
2017-05-18,1476037.589999998,97283.44000000005
2017-05-19,571131.7900000045,42719.58999999995
2017-05-22,1624574.7399999795,113691.88000000056
2017-05-23,1209411.2899999998,81145.33000000028
2017-05-24,1400036.5799999977,96344.69000000022
2017-05-25,1298340.2000000002,88468.30000000012
2017-05-26,1659765.1699999885,116802.8500000004
2017-05-27,64.18,6.5
2017-05-29,66.0,10.5
2017-05-30,1068440.9400000055,72265.62000000029
2017-05-31,1435138.1399999934,94090.44000000024
2017-06-01,1490499.6299999922,99045.4500000002
2017-06-02,572278.4500000022,42700.489999999954
2017-06-05,1877907.5899999898,127496.89000000048
2017-06-06,1306200.419999996,94403.83000000022
2017-06-07,1429141.1799999846,102585.69000000037
2017-06-08,1594498.2100000004,105656.92000000022
2017-06-09,598375.4600000014,43277.12999999995
2017-06-12,1583337.90999999,105945.06
2017-06-13,1262727.7999999984,87964.09000000024
2017-06-14,1523205.5399999896,102316.35000000027
2017-06-15,1599586.179999996,110546.5900000001
2017-06-16,642565.1400000015,46049.12000000001
2017-06-19,1471611.679999989,99373.92000000013
2017-06-20,1100824.7100000018,73183.72000000003
2017-06-21,1325184.7899999963,91927.40000000033
2017-06-22,1154796.4600000014,76761.0600000001
2017-06-23,731337.490000001,53367.679999999964
2017-06-26,1676086.249999989,117700.40000000033
2017-06-27,1388611.7899999975,92065.95000000052
2017-06-28,2080814.2699999756,137990.33000000077
2017-06-29,1449549.6199999976,97604.68000000034
2017-06-30,766921.3900000044,53115.91
2017-07-03,1373777.849999993,90432.5200000002
2017-07-04,1159161.680000003,78366.49000000009
2017-07-05,1365813.5499999898,92274.13000000034
2017-07-06,1246739.0900000024,81438.94000000012
2017-07-07,560382.5600000034,40197.10999999993
2017-07-10,1525189.0899999836,105391.06000000048
2017-07-11,1176861.9100000008,79748.73000000023
2017-07-12,1473683.629999992,102889.85000000034
2017-07-13,1366624.3999999964,93848.8400000003
2017-07-14,646354.4700000018,48505.809999999954
2017-07-17,1541714.9099999948,106567.29000000036
2017-07-18,1200227.9699999972,82149.3800000005
2017-07-19,1377501.9500000002,96118.50000000029
2017-07-20,1241910.2800000026,85005.94000000008
2017-07-21,610382.9700000033,44729.29999999997
2017-07-24,1426256.4599999934,98803.08000000038
2017-07-25,1122733.030000004,77989.89000000028
2017-07-26,1282027.6599999978,89074.59000000017
2017-07-27,1529457.0199999877,105805.25000000023
2017-07-28,545821.2200000025,42082.88999999999
2017-07-31,1427993.0099999967,97856.76000000015
2017-08-01,1058640.5000000065,74044.98000000017
